"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"(@p__linq__0 varchar(8000))SELECT TOP (1) 
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164258","87","164549","87","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164595","87","164902","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164901","87","165186","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163236","86","163529","86","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","168525","89","168826","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","166441","88","166722","88","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","165613","87","165853","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","169329","89","169631","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164731","87","165038","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","162864","86","163177","86","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164624","87","164909","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","171021","90","171331","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163079","86","163366","86","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163543","86","163809","86","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164878","87","165165","87","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164329","87","164606","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","168243","89","168517","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163685","86","163994","86","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","170071","90","170364","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164459","87","164743","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","169778","89","170069","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","165605","87","165888","87","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163060","86","163320","86","0","12/11/2025 2:37:51 PM"
