"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"KhachHang","IX_KhachHang_MaThe13","2","49","98087","0","98136","305429","NONCLUSTERED","0","False","","12/11/2025 4:09:39 PM","","12/10/2025 4:12:21 PM"
"TichLuy","IX_TichLuy_MaThe13","2","55","89057","0","89112","315008","NONCLUSTERED","0","False","","12/11/2025 4:06:51 PM","","12/10/2025 4:12:21 PM"
"INVTSERV1","PK_INVTSERV1_1","1","6","78758","0","78764","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:16:51 AM"
"INVTSERV3","PK_INVTSERV3","1","3","78758","0","78761","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:16:58 AM"
"INVTSERV9","PK_INVTSERV9","1","3","78754","0","78757","290","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:17:01 AM"
"INVTSERV6","PK_INVTSERV6","1","3","78753","0","78756","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:17:00 AM"
"INVTSERV4","PK_INVTSERV4","1","3","78753","0","78756","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:16:59 AM"
"INVTSERV2","PK_INVTSERV2","1","3","78752","0","78755","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:16:58 AM"
"INVTSERV5","PK_INVTSERV5","1","3","78752","0","78755","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:16:59 AM"
"INVTSERV8","PK_INVTSERV8","1","3","78751","0","78754","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:17:01 AM"
"INVTSERV7","PK_INVTSERV7","1","3","78751","0","78754","289","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","11/18/2025 9:17:00 AM"
"INVTSERV29","PK_INVTSERV29","1","0","78740","0","78740","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV19","PK_INVTSERV19_1","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV22","PK_INVTSERV22","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV24","PK_INVTSERV24","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV23","PK_INVTSERV23","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV26","PK_INVTSERV26","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV30","PK_INVTSERV30","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV27","PK_INVTSERV27","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV20","PK_INVTSERV20","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV21","PK_INVTSERV21","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV18","PK_INVTSERV18","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV28","PK_INVTSERV28","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"INVTSERV25","PK_INVTSERV25","1","0","78739","0","78739","289","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"QuocGia","PK__QuocGia__597B3B93","1","63366","12118","0","75484","0","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","","12/11/2025 4:21:51 PM"
"NhanVien","PK__NhanVien__100C566E","1","495","60516","0","61011","230","CLUSTERED","0","False","","12/11/2025 4:06:41 PM","","12/9/2025 12:04:37 PM"
"LyDo","PK__LyDo__3335971A","1","220","44896","0","45116","0","CLUSTERED","0","False","","12/11/2025 4:09:32 PM","","12/11/2025 10:09:49 AM"
"UpdateList","PK_UpdateList","1","369","39472","0","39841","411","CLUSTERED","0","False","","12/11/2025 4:21:55 PM","","12/11/2025 1:21:37 AM"
"TNDSERV1","PK_TNDSERV1","1","0","39119","0","39119","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV2","PK_TNDSERV2","1","0","39118","0","39118","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV3","PK_TNDSERV3","1","0","39117","0","39117","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV8","PK_TNDSERV8","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV5","PK_TNDSERV5","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
