"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","TNDSERV27","0","NONE"
"dbo","CTGuiSMS","0","NONE"
"dbo","TNDSERV28","0","NONE"
"dbo","INVTSERV8","0","NONE"
"dbo","TrangThai","0","NONE"
"dbo","INVTSERV9","0","NONE"
"dbo","Message","0","NONE"
"dbo","TNDSERV18","0","NONE"
"dbo","MSsavedforeignkeys","0","NONE"
"dbo","BonusSKU1618","0","NONE"
"dbo","MSsavedforeignkeyextendedproperties","0","NONE"
"dbo","MSsavedforeignkeycolumns","0","NONE"
"dbo","TNDSERV19","0","NONE"
"dbo","CauHinh_Tender_CKTM","0","NONE"
"dbo","TNDSERV20","0","NONE"
"dbo","Message_NhanVien","0","NONE"
"dbo","CTNhanThuong_2023","0","NONE"
"dbo","CTPhatSinh_KhuyenMai11","0","NONE"
"dbo","TNDSERV21","0","NONE"
"dbo","TonKhoQua","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS06","0","NONE"
"dbo","CTNhanQuaTT","0","NONE"
"dbo","INVTSERV3","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS07","0","NONE"
"dbo","TNDSERV5","0","NONE"
"dbo","INVTSERV29","0","NONE"
"dbo","TNDSERV3","0","NONE"
"dbo","INVTSERV28","0","NONE"
"dbo","TNDSERV1","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS05","0","NONE"
"dbo","TNDSERV2","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS08","0","NONE"
"dbo","TNDSERV8","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS09","0","NONE"
"dbo","INVTSERV30","0","NONE"
"dbo","TNDSERV7","0","NONE"
"dbo","CTPhatSinh12","0","NONE"
"dbo","TNDSERV6","0","NONE"
"dbo","TNDSERV4","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS12","0","NONE"
"dbo","INVTSERV6","0","NONE"
"dbo","CauHinh_IPStore","0","NONE"
"dbo","MSsnapshotdeliveryprogress","0","NONE"
"dbo","INVTSERV7","0","NONE"
"dbo","INVTSERV0","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS10","0","NONE"
"dbo","INVTSERV4","0","NONE"
"dbo","TNDSERV9","0","NONE"
"dbo","INVTSERV5","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS11","0","NONE"
"dbo","STAMPTRX_New_BK_Bf230228","0","NONE"
"dbo","History_XemBaoCao","0","NONE"
"dbo","STAMPTRX_New_BK_SanSao_230822","0","NONE"
"dbo","History_ChiThuongCuoiNam","0","NONE"
"dbo","QuaySUD_NhanThuong","0","NONE"
"dbo","QuaTangSinhNhat","0","NONE"
"dbo","TheKhongNhanQuangCao","0","NONE"
"dbo","temptdate","0","NONE"
"dbo","DotTangQuaSinhNhat","0","NONE"
"dbo","TNDSERV","0","NONE"
"dbo","CTGiaoNhan","0","NONE"
"dbo","CTPhieuQT2012","0","NONE"
"dbo","INVTSERV1","0","NONE"
"dbo","HistoryPIN","0","NONE"
"dbo","TheDongThuongHieu","0","NONE"
"dbo","LoaiThoiGianKhuyenMai","0","NONE"
"dbo","CTGiaoNhan_NhanVien","0","NONE"
"dbo","INVTSERV18","0","NONE"
"dbo","CapLaiThe","0","NONE"
"dbo","INVTSERV19","0","NONE"
"dbo","CTDotCapThe","0","NONE"
"dbo","CauHinhQuaTang_BkCu","0","NONE"
"dbo","INVTSERV20","0","NONE"
"dbo","KhachHang_QuaTang_CapDo_Cu","0","NONE"
"dbo","INVTSERV2","0","NONE"
"dbo","DotCapThe_SieuThi","0","NONE"
"dbo","DotCapThe","0","NONE"
"dbo","INVTSERV22","0","NONE"
"dbo","LichSuHuyPhieuQRCode","0","NONE"
"dbo","INVTSERV21","0","NONE"
"dbo","INVTSERV23","0","NONE"
"dbo","CAMBONUS","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS02","0","NONE"
"dbo","INVTSERV26","0","NONE"
"dbo","STAMPTRX_New","0","NONE"
"dbo","INVTSERV27","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS03","0","NONE"
"dbo","INVTSERV25","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS01","0","NONE"
"dbo","KhachHang_QuaTang_CapDo","0","NONE"
"dbo","INVTSERV24","0","NONE"
"dbo","CTNhanThuong_HoaDon","0","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS04","0","NONE"
