"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"ReportLog","PK_ReportLog","1","251","0","CLUSTERED","0","False","","","11/29/2025 1:34:35 PM"
"NhanVien","PK__NhanVien__100C566E","1","230","61011","CLUSTERED","0","False","","","12/9/2025 12:04:37 PM"
"History_TNDSERV11","","0","224","0","HEAP","0","False","","","12/3/2025 11:40:22 PM"
"LichSuThayDoiSieuThi","PK_LichSuThayDoiSieuThi","1","183","0","CLUSTERED","0","False","","","12/11/2025 10:03:04 AM"
"History_INVTSERV08","","0","150","0","HEAP","0","False","","","9/3/2025 11:30:30 PM"
"History_INVTSERV05","","0","150","22","HEAP","0","False","","","6/4/2025 11:30:22 PM"
"History_INVTSERV11","","0","150","10","HEAP","0","False","","","12/3/2025 11:30:26 PM"
"History_TNDSERV08","","0","140","0","HEAP","0","False","","","9/3/2025 11:40:20 PM"
"History_TNDSERV05","","0","140","0","HEAP","0","False","","","6/4/2025 11:40:16 PM"
"CTKhuyenMai","PK__CTKhuyenMai__381A47C8","1","123","10627827","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"History_INVTSERV07","","0","120","0","HEAP","0","False","","","7/30/2025 11:30:25 PM"
"History_INVTSERV04","","0","120","1","HEAP","0","False","","","4/30/2025 11:30:22 PM"
"History_INVTSERV10","","0","120","0","HEAP","0","False","","","10/29/2025 11:30:25 PM"
"History_INVTSERV09","","0","120","0","HEAP","0","False","","","10/1/2025 11:30:24 PM"
"History_INVTSERV06","","0","120","0","HEAP","0","False","","","7/2/2025 11:30:28 PM"
"History_TNDSERV09","","0","112","0","HEAP","0","False","","","10/1/2025 11:40:17 PM"
"History_TNDSERV04","","0","112","0","HEAP","0","False","","","4/30/2025 11:40:18 PM"
"History_TNDSERV07","","0","112","0","HEAP","0","False","","","7/30/2025 11:40:18 PM"
"History_TNDSERV06","","0","112","0","HEAP","0","False","","","7/2/2025 11:40:19 PM"
"History_TNDSERV10","","0","112","0","HEAP","0","False","","","10/29/2025 11:40:20 PM"
"TinhTP","PK__TinhTP__44801EAD","1","104","8167112","CLUSTERED","0","False","","","11/6/2025 4:04:05 PM"
"History_PrintVoucher","PK_History_PrintVoucher","1","76","131","CLUSTERED","0","False","","","12/9/2025 12:10:00 AM"
"KhuyenMai_SieuThi","PK__KhuyenMai_SieuTh__5E3FF0B0","1","68","9861627","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"GiftPromotion_Canceled","PK_GiftPromotion_Canceled","1","68","8","CLUSTERED","0","False","","","11/27/2025 2:56:39 PM"
"CauHinhSKU_LoaiDMH","PK__CauHinhSKU_LoaiDMH","1","66","2349004","CLUSTERED","0","False","","","8/9/2025 12:03:34 PM"
"KhuyenMai","PK__KhuyenMai__3631FF56","1","54","9861682","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"KhuyenMaiPOS","PK_KhuyenMaiPOS","1","47","138884195","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"TNDSERV19","PK_TNDSERV19","1","40","39113","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV18","PK_TNDSERV18","1","40","39112","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"LichSuCapTheST","","0","40","0","HEAP","0","False","","","11/22/2025 8:14:41 AM"
"TNDSERV24","PK_TNDSERV24","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV25","PK_TNDSERV25","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV8","PK_TNDSERV8","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV3","PK_TNDSERV3","1","39","39117","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV2","PK_TNDSERV2","1","39","39118","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV4","PK_TNDSERV4","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV26","PK_TNDSERV26","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV27","PK_TNDSERV27","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV1","PK_TNDSERV1","1","39","39119","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV6","PK_TNDSERV6","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
