"session_id","Database Name","login_time","cpu_time","logical_reads","status","Input Buffer"
"84","KHTT_ST","12/4/2025 2:02:40 PM","16","34","sleeping","    DECLARE @filePath VARCHAR(255);
    DECLARE @fileName VARCHAR(255);
    DECLARE @bcpCommand VARCHAR(8000);
    DECLARE @dataToExport varbinary(max); -- Assuming your binary data is in a VARBINARY(MAX) column

    -- Example: Retrieve a specific binary data and define file path/name
    SELECT @dataToExport = FileData, @fileName = 'script.txt'
    FROM ScriptTable; -- Adjust your WHERE clause as needed

    SET @filePath = 'D:\2025\' + @fileName; -- Define the full path and filename

    -- Build the bcp command to export the binary data to a file
    SET @bcpCommand = 'bcp ""SELECT FileData FROM KHTT_ST.dbo.ScriptTable"" queryout ""' + @filePath + '"" -T -N';
	print(@bcpCommand)
    EXEC xp_cmdshell @bcpCommand;
"
"85","KHTT_ST","12/11/2025 3:23:20 PM","174564","861452","sleeping","set dateformat ymd SELECT * FROM KhachHang  WHERE MATHE13 = N'5288126711948'"
"89","KHTT_ST","12/11/2025 6:31:14 AM","15","83","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0986943003' OR kh.DTBan = '0986943003') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"90","KHTT_ST","12/11/2025 4:20:41 PM","0","47","sleeping","(@Date datetime)select sum(Amount) from TNDSERV15 
                                                        where CUSTNUM = '8281791726' 
                                                        and DATE = @Date
                                                        and left([TIME],5) = '16:07' 
                                                        and TX_NO = 206 
                                                        and REGISTER = '02' 
                                                        and TILLID = '27460' 
                                                        and STORE = '691'
                                                        and TENDER_CODE = '' 
                                                        and BANKCODE = ''"
"92","KHTT_ST","12/11/2025 2:11:49 PM","31","134","sleeping","select DiemNamCu from ChiThuongCuoiNam where MaThe13 = '3480111519962'"
"93","KHTT_ST","12/11/2025 4:14:02 PM","204","99","sleeping","select DiemNamCu from ChiThuongCuoiNam where MaThe13 = '9015922984100'"
"94","KHTT_ST","12/11/2025 3:48:36 PM","16","62","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0353799142' OR kh.DTBan = '0353799142') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"95","KHTT_ST","12/11/2025 9:03:20 AM","0","4","sleeping","(@p__linq__0 varchar(8000))SELECT TOP (1) 
    [Extent1].[MaThe13] AS [MaThe13], 
    [Extent1].[DoanhSoDauNgay] AS [DoanhSoDauNgay], 
    [Extent1].[DoanhSoTrongNgay] AS [DoanhSoTrongNgay], 
    [Extent1].[DiemMuaHangDauNgay] AS [DiemMuaHangDauNgay], 
    [Extent1].[DiemThuongTheoHDDauNgay] AS [DiemThuongTheoHDDauNgay], 
    [Extent1].[DiemThuongKhongTheoHDDauNgay] AS [DiemThuongKhongTheoHDDauNgay], 
    [Extent1].[TongDiemDauNgay] AS [TongDiemDauNgay], 
    [Extent1].[DiemDaNhanThuongDauNgay] AS [DiemDaNhanThuongDauNgay], 
    [Extent1].[DiemMuaHangTrongNgay] AS [DiemMuaHangTrongNgay], 
    [Extent1].[DiemThuongTheoHDTrongNgay] AS [DiemThuongTheoHDTrongNgay], 
    [Extent1].[DiemThuongKhongTheoHDTrongNgay] AS [DiemThuongKhongTheoHDTrongNgay], 
    [Extent1].[TongDiemTrongNgay] AS [TongDiemTrongNgay], 
    [Extent1].[TongDiemCuoiNgay] AS [TongDiemCuoiNgay], 
    [Extent1].[DiemDaNhanThuong] AS [DiemDaNhanThuong], 
    [Extent1].[Ngay] AS [Ngay], 
    [Extent1].[MaCapDoDauNgay] AS [MaCapDoDauNgay]
    FROM [dbo].[TichLuyTrongNgay] AS [Extent1]
    WHERE ([Extent1].[MaThe13] = @p__linq__0) AND (@p__linq__0 IS NOT NULL)"
"96","KHTT_ST","12/11/2025 9:54:25 AM","0","57","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.MaThe7 = '2107274') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"97","KHTT_ST","12/11/2025 3:30:13 PM","0","7","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0938803814' OR kh.DTBan = '0938803814') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
