"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact","Table Name","Table Rows"
"115.76","12/8/2025 10:32:11 AM","[KHTT_ST].[dbo].[CTQuyenNhanVien]","2","1","[TenControl]","","[MaNV], [MaQuyen], [Enable], [Visible], [TenHienThi]","72","178","0.84","77.73","CTQuyenNhanVien","57133"
"101.98","12/11/2025 3:50:37 AM","[KHTT_ST].[dbo].[KhachHang]","3","1","","[MaTinhTP]","[MaThe13], [MaThe7]","1","1","105.67","96.51","KhachHang","2757344"
"86.81","12/11/2025 3:50:00 PM","[KHTT_ST].[dbo].[INVTSERV15]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","5.93","29.26","INVTSERV15","133338"
"78.46","12/11/2025 3:42:00 PM","[KHTT_ST].[dbo].[INVTSERV16]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","49","5.76","27.82","INVTSERV16","120253"
"74.12","12/11/2025 3:42:00 PM","[KHTT_ST].[dbo].[INVTSERV11]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","5.48","27.07","INVTSERV11","72091"
"67.52","12/11/2025 3:42:00 PM","[KHTT_ST].[dbo].[INVTSERV17]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","49","5.49","25.12","INVTSERV17","105393"
"60.17","12/11/2025 9:46:38 AM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","1","1","60.21","99.93","CTPhatSinh","328254"
"59.87","12/11/2025 9:02:29 AM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen]","[NgayHD]","","1","1","60.18","99.49","CTPhatSinh","328254"
"56.88","12/11/2025 3:50:07 PM","[KHTT_ST].[dbo].[TNDSERV10]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","51","4.95","22.53","TNDSERV10","130948"
"44.23","12/11/2025 3:42:02 PM","[KHTT_ST].[dbo].[TNDSERV16]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","49","4.66","19.39","TNDSERV16","105793"
"42.33","12/11/2025 3:46:02 PM","[KHTT_ST].[dbo].[TNDSERV12]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","4.58","18.5","TNDSERV12","99211"
"41.94","12/11/2025 3:42:02 PM","[KHTT_ST].[dbo].[TNDSERV17]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","49","4.59","18.65","TNDSERV17","100031"
"41.78","12/11/2025 3:48:02 PM","[KHTT_ST].[dbo].[TNDSERV14]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","4.56","18.32","TNDSERV14","98800"
