"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"CauHinhChietKhauPOS","","0","","","","","","HEAP","0","False","","","",""
"History_TNDSERV07","","0","","","","","","HEAP","0","False","","","",""
"CapLaiThe","PK_CapLaiThe","1","","","","","","CLUSTERED","0","False","","","",""
"STAMPTRX_New_Nam2018","","0","","","","","","HEAP","0","False","","","",""
"History_TNDSERV08","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV11","","0","","","","","","HEAP","0","False","","","",""
"ChuongTrinh","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV12","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS06","PK__CTPhatSinh_KhuyenMaiPOS06","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS06","IX_CTPhatSinh_KhuyenMaiPOS06","2","","","","","","NONCLUSTERED","0","False","","","",""
"HinhThuc_BK","PK__HinhThuc__32616E72","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV3","PK_TNDSERV3","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS05","PK__CTPhatSinh_KhuyenMaiPOS05","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS05","IX_CTPhatSinh_KhuyenMaiPOS05","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV2","PK_TNDSERV2","1","","","","","","CLUSTERED","0","False","","","",""
"CTKhuyenMai","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh09","PK__CTPhatSinh09","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh09","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"INVTSERV29","PK_INVTSERV29","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV_658","","0","","","","","","HEAP","0","False","","","",""
"ExceptionPOS","","0","","","","","","HEAP","0","False","","","",""
"GuiThongTinKhachHang","NgayTao","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV24","PK_TNDSERV24","1","","","","","","CLUSTERED","0","False","","","",""
"TichLuy","PK__TichLuy__1B7E091A","1","","","","","","CLUSTERED","0","False","","","",""
"TichLuy","IX_TichLuy_MaThe13","5","","","","","","NONCLUSTERED","0","False","","","",""
"PhuongXa","","0","","","","","","HEAP","0","False","","","",""
"TNDSERV25","PK_TNDSERV25","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai07","PK_CTPhatSinh_KhuyenMai07","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai07","IX_CTPhatSinh_KhuyenMai07","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV17","PK_TNDSERV17","1","","","","","","CLUSTERED","0","False","","","",""
"DieuKienKhuyenMaiPOS","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV02","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV_CFTAYNGUYEN_1411","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV22","PK_INVTSERV22","1","","","","","","CLUSTERED","0","False","","","",""
"CTNhanThuongTrongNgay","PK_CTNhanThuongTrongNgay","1","","","","","","CLUSTERED","0","False","","","",""
"KhuyenMaiPOS","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS03","PK__CTPhatSinh_KhuyenMaiPOS03","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS03","IX_CTPhatSinh_KhuyenMaiPOS03","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTDMQuyen","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh06","PK__CTPhatSinh06","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh06","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"STAMPTRX_New","PK_STAMPTRX_New","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS04","PK__CTPhatSinh_KhuyenMaiPOS04","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS04","IX_CTPhatSinh_KhuyenMaiPOS04","2","","","","","","NONCLUSTERED","0","False","","","",""
"STAMPTRX_New_BK_Bf220927","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV19","PK_INVTSERV19_1","1","","","","","","CLUSTERED","0","False","","","",""
"CTDotCapThe","PK__CTDotCapThe__7E02B4CC","1","","","","","","CLUSTERED","0","False","","","",""
"History_TNDSERV10","","0","","","","","","HEAP","0","False","","","",""
"LoaiDongThuongHieu","","0","","","","","","HEAP","0","False","","","",""
"History_TNDSERV11","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh11","PK__CTPhatSinh11","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh11","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTNhanQuaTT","CTNhanThuongTT","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV3","PK_INVTSERV3","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS07","PK__CTPhatSinh_KhuyenMaiPOS07","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS07","IX_CTPhatSinh_KhuyenMaiPOS07","2","","","","","","NONCLUSTERED","0","False","","","",""
"CauHinhHeThong","","0","","","","","","HEAP","0","False","","","",""
"CauHinh_BK","PK_CauHinh","1","","","","","","CLUSTERED","0","False","","","",""
"SGC_DocumentIssue","PK_SGC_DocumentIssue","1","","","","","","CLUSTERED","0","False","","","",""
"CauHinh_GuiThongTin","PK_CauHinh_GuiThongTin","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV23","PK_TNDSERV23","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV6","PK_INVTSERV6","1","","","","","","CLUSTERED","0","False","","","",""
"NhanVien","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMai03","PK_CTPhatSinh_KhuyenMai03","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai03","IX_CTPhatSinh_KhuyenMai03","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV13","PK_TNDSERV13","1","","","","","","CLUSTERED","0","False","","","",""
"CTGuiSMS","PK_CTGuiSMS","1","","","","","","CLUSTERED","0","False","","","",""
"QuanHuyen","","0","","","","","","HEAP","0","False","","","",""
"TNDSERV28","PK_TNDSERV28","1","","","","","","CLUSTERED","0","False","","","",""
"STAMPTRX_New_NoStoreID_170918","","0","","","","","","HEAP","0","False","","","",""
"History_KhachHang","PK__History_KhachHang__095F58DF","1","","","","","","CLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_MaThe7","3","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_CMND","4","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_DTBan","5","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_DTDD","6","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_HoLot","7","","","","","","NONCLUSTERED","0","False","","","",""
"History_KhachHang","IX_History_KhachHang_Ten","8","","","","","","NONCLUSTERED","0","False","","","",""
"INVTSERV11","PK_INVTSERV11","1","","","","","","CLUSTERED","0","False","","","",""
"GiftPromotion_ST","","0","","","","","","HEAP","0","False","","","",""
"NhanThuong_QuaTang_CapDo","","0","","","","","","HEAP","0","False","","","",""
"TNDSERV7","PK_TNDSERV7","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhieuQT","PK_CTPhieuQT","1","","","","","","CLUSTERED","0","False","","","",""
"GiftPromotion_Canceled","PK_GiftPromotion_Canceled","1","","","","","","CLUSTERED","0","False","","","",""
"History_ChiThuongCuoiNam","PK_History_ChiThuongCuoiNam","1","","","","","","CLUSTERED","0","False","","","",""
"A_Rebuild","","0","","","","","","HEAP","0","False","","","",""
"CauHinh","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS08","PK__CTPhatSinh_KhuyenMaiPOS08","1","","","","","","CLUSTERED","0","False","","","",""
"KhachHang","","0","","","","","","HEAP","0","False","","","",""
"KhachHang","IX_KhachHang_MaThe13","7","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_DTDD","8","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_DTBan","9","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_HoLot","10","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_Ten","11","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_CMND","12","","","","","","NONCLUSTERED","0","False","","","",""
"KhachHang","IX_KhachHang_MaThe7","13","","","","","","NONCLUSTERED","0","False","","","",""
"The","IX_The_MaThe13","4","","","","","","NONCLUSTERED","0","False","","","",""
"STAMPTRX_New_CFMTay_210319","","0","","","","","","HEAP","0","False","","","",""
"History_TNDSERV09","","0","","","","","","HEAP","0","False","","","",""
"TrangThai","PK__TrangThai__2C88998B","1","","","","","","CLUSTERED","0","False","","","",""
"TrangThai","IX_TrangThai_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai08","PK_CTPhatSinh_KhuyenMai08","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai08","IX_CTPhatSinh_KhuyenMai08","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV18","PK_TNDSERV18","1","","","","","","CLUSTERED","0","False","","","",""
"CTNhanThuong_HoaDon","PK_CTNhanThuong_HoaDon_1","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV5","PK_INVTSERV5","1","","","","","","CLUSTERED","0","False","","","",""
"CTGuiThongTinKhachHang","PK__CTGuiThongTinKha__6EEB59C5","1","","","","","","CLUSTERED","0","False","","","",""
"SGC_Feedback","PK_SGC_Feedback","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV26","PK_TNDSERV26","1","","","","","","CLUSTERED","0","False","","","",""
"HinhThuc","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV10","PK_INVTSERV10","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV27","PK_TNDSERV27","1","","","","","","CLUSTERED","0","False","","","",""
"NhomNhanVien","","0","","","","","","HEAP","0","False","","","",""
