"SQL Server Process CPU Utilization","System Idle Process","Other Process CPU Utilization","Event Time"
"3","92","5","12/11/2025 12:11:11 PM"
"5","91","4","12/11/2025 12:10:11 PM"
"3","92","5","12/11/2025 12:09:11 PM"
"2","93","5","12/11/2025 12:08:10 PM"
"4","92","4","12/11/2025 12:07:10 PM"
"4","91","5","12/11/2025 12:06:10 PM"
"4","92","4","12/11/2025 12:05:10 PM"
"3","93","4","12/11/2025 12:04:10 PM"
"6","90","4","12/11/2025 12:03:10 PM"
"5","91","4","12/11/2025 12:02:09 PM"
"2","92","6","12/11/2025 12:01:09 PM"
"7","90","3","12/11/2025 12:00:09 PM"
"4","92","4","12/11/2025 11:59:09 AM"
"2","93","5","12/11/2025 11:58:09 AM"
"4","92","4","12/11/2025 11:57:08 AM"
"5","91","4","12/11/2025 11:56:08 AM"
"6","91","3","12/11/2025 11:55:08 AM"
"6","91","3","12/11/2025 11:54:08 AM"
"9","89","2","12/11/2025 11:53:08 AM"
"5","91","4","12/11/2025 11:52:08 AM"
"4","92","4","12/11/2025 11:51:07 AM"
"5","91","4","12/11/2025 11:50:07 AM"
"5","92","3","12/11/2025 11:49:07 AM"
"4","92","4","12/11/2025 11:48:07 AM"
"10","89","1","12/11/2025 11:47:07 AM"
"7","90","3","12/11/2025 11:46:06 AM"
"3","93","4","12/11/2025 11:45:06 AM"
"5","91","4","12/11/2025 11:44:06 AM"
"5","91","4","12/11/2025 11:43:06 AM"
"2","93","5","12/11/2025 11:42:06 AM"
"5","91","4","12/11/2025 11:41:05 AM"
"4","92","4","12/11/2025 11:40:05 AM"
"3","92","5","12/11/2025 11:39:05 AM"
"4","92","4","12/11/2025 11:38:05 AM"
"4","91","5","12/11/2025 11:37:05 AM"
"3","92","5","12/11/2025 11:36:05 AM"
"4","92","4","12/11/2025 11:35:04 AM"
"5","92","3","12/11/2025 11:34:04 AM"
"5","92","3","12/11/2025 11:33:04 AM"
"4","92","4","12/11/2025 11:32:04 AM"
"5","92","3","12/11/2025 11:31:04 AM"
"6","91","3","12/11/2025 11:30:03 AM"
"4","92","4","12/11/2025 11:29:03 AM"
"5","92","3","12/11/2025 11:28:03 AM"
"5","92","3","12/11/2025 11:27:03 AM"
"3","92","5","12/11/2025 11:26:03 AM"
"4","92","4","12/11/2025 11:25:03 AM"
"6","91","3","12/11/2025 11:24:02 AM"
"5","92","3","12/11/2025 11:23:02 AM"
"5","92","3","12/11/2025 11:22:02 AM"
"5","92","3","12/11/2025 11:21:02 AM"
"6","91","3","12/11/2025 11:20:02 AM"
"4","92","4","12/11/2025 11:19:01 AM"
"5","92","3","12/11/2025 11:18:01 AM"
"8","91","1","12/11/2025 11:17:01 AM"
"4","92","4","12/11/2025 11:16:01 AM"
"6","92","2","12/11/2025 11:15:01 AM"
"6","91","3","12/11/2025 11:14:01 AM"
"3","93","4","12/11/2025 11:13:00 AM"
"5","91","4","12/11/2025 11:12:00 AM"
"6","91","3","12/11/2025 11:11:00 AM"
"4","92","4","12/11/2025 11:10:00 AM"
"6","91","3","12/11/2025 11:09:00 AM"
"6","91","3","12/11/2025 11:07:59 AM"
"4","92","4","12/11/2025 11:06:59 AM"
"4","92","4","12/11/2025 11:05:59 AM"
"6","91","3","12/11/2025 11:04:59 AM"
"5","91","4","12/11/2025 11:03:59 AM"
"4","92","4","12/11/2025 11:02:59 AM"
"6","90","4","12/11/2025 11:01:58 AM"
"5","91","4","12/11/2025 11:00:58 AM"
"3","92","5","12/11/2025 10:59:58 AM"
