"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"51.48","2025-05-06 10:34:25","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","1","[STDK]","","[MaThe13], [TongTienHD], [MaCapDo], [HoLot], [Ten], [GioiTinh], [SoNha], [TenDuong], [DTDD], [DTBan], [Email], [TenPhuongXa], [TenQuanHuyen], [TenTP]","1","1","52.86","97.39"
"49.74","2025-08-27 16:08:19","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","2","[MaQuanHuyenGOLDMEM]","","[TenPhuongXaChuanHoa]","63","64","1.65","47.15"
"44.48","2025-08-27 16:08:19","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","3","[MaGOLDMEM]","","[MaQuanHuyenGOLDMEM], [TenPhuongXaChuanHoa]","63","64","1.65","42.17"
"41.52","2025-12-11 15:12:02","[KHTT_ST].[dbo].[TNDSERV16]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","4.66","19.39"
"39.79","2025-12-11 15:16:03","[KHTT_ST].[dbo].[TNDSERV12]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","47","4.58","18.5"
"39.38","2025-12-11 15:12:03","[KHTT_ST].[dbo].[TNDSERV17]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","4.59","18.65"
"38.44","2025-12-11 15:08:02","[KHTT_ST].[dbo].[TNDSERV14]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","4.56","18.32"
"36.32","2025-12-11 15:16:12","[msdb].[dbo].[backupset]","6","3","[database_name]","[backup_finish_date]","[type]","6","6","6.30","96.14"
"35.82","2025-12-11 15:16:12","[msdb].[dbo].[backupset]","6","2","","[backup_finish_date]","[type], [database_name]","6","6","6.30","94.82"
"30.58","2025-12-11 15:12:02","[KHTT_ST].[dbo].[TNDSERV11]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","47","4.30","15.12"
"27.01","2025-12-11 01:00:21","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen]","","[ID], [NgayNhap]","1","1","70.96","38.06"
"21.95","2025-12-11 15:14:02","[KHTT_ST].[dbo].[TNDSERV13]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","47","4.04","11.57"
"18.64","2025-11-10 14:57:37","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","3","8","5.99","38.89"
"13.51","2025-09-10 15:44:38","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[STT], [TenPhuongXa_GM], [TenQuanHuyen_GM], [TenTP_GM], [TinhThanhPho_DC], [MaDiaChinh_TinhThanhPho_DC], [PhuongXa_DacKhu_DC], [MaDiaChinh_PhuongXa_DacKhu_DC], [MaQuanHuyen_GM], [MaPhuongXa_GM]","21","25","1.11","48.52"
"12.70","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","2","[Type], [IsComplete]","","[ID]","8","14","1.03","88.23"
