"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.CTPhatSinh06","USER_TABLE","IX_CTPhatSinh_MaThe13","7/11/2025 8:06:02 AM","False","False","False","False","False","873833","7583"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_MaDot","7/8/2025 1:00:07 AM","False","False","False","False","False","1441","8"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_GhiChu","7/5/2025 1:00:05 AM","False","False","False","False","False","1441","9"
"dbo.CTPhatSinh05","USER_TABLE","PK__CTPhatSinh05","6/12/2025 1:00:00 AM","False","False","False","False","False","871403","30411"
"dbo.CTPhatSinh05","USER_TABLE","IX_CTPhatSinh_MaThe13","6/11/2025 7:22:30 AM","False","False","False","False","False","871403","7563"
"dbo.CTPhatSinh04","USER_TABLE","PK__CTPhatSinh04","5/12/2025 1:00:00 AM","False","False","False","False","False","835767","29169"
"dbo.CTPhatSinh04","USER_TABLE","IX_CTPhatSinh_MaThe13","5/11/2025 8:52:04 AM","False","False","False","False","False","835767","7253"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_MaThe13","5/2/2025 1:00:04 AM","False","False","False","False","False","1441","14"
"dbo.CTPhatSinh03","USER_TABLE","PK__CTPhatSinh03","4/12/2025 1:00:00 AM","False","False","False","False","False","871013","30401"
"dbo.CTPhatSinh03","USER_TABLE","IX_CTPhatSinh_MaThe13","4/11/2025 6:54:10 AM","False","False","False","False","False","871013","7559"
"dbo.CTPhatSinh02","USER_TABLE","PK__CTPhatSinh02","3/12/2025 1:00:01 AM","False","False","False","False","False","695633","24273"
"dbo.CTPhatSinh02","USER_TABLE","IX_CTPhatSinh_MaThe13","3/11/2025 5:45:22 AM","False","False","False","False","False","695633","6038"
"dbo.CTPhatSinh01","USER_TABLE","PK__CTPhatSinh01","2/12/2025 1:00:00 AM","False","False","False","False","False","798991","27878"
"dbo.CTPhatSinh01","USER_TABLE","IX_CTPhatSinh_MaThe13","2/11/2025 7:10:54 AM","False","False","False","False","False","798991","6933"
"dbo.ExceptionPOS","USER_TABLE","PK_ExceptionPOS","1/3/2025 1:00:01 AM","False","False","False","False","False","1448","13"
"dbo.NhanThuong_SieuThi","USER_TABLE","PK__QuaThuong_SieuTh__6C8E1007","1/1/2025 8:00:01 AM","False","False","False","False","False","1639","11"
