"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"Monthly_Promotion122024","37648","0","NONE","1/13/2025 3:31:27 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report012022","834785","0","NONE","2/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report012023","813749","0","NONE","2/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report012024","976554","0","NONE","2/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report012025","798991","0","NONE","2/1/2025 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report022022","595621","0","NONE","3/1/2022 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report022023","835420","0","NONE","3/1/2023 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report022024","716600","0","NONE","3/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report022025","695633","0","NONE","3/1/2025 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report032022","832802","0","NONE","4/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report032023","963089","0","NONE","4/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report032024","953067","0","NONE","4/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report032025","871013","0","NONE","4/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report042022","803873","0","NONE","5/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report042023","965562","0","NONE","5/1/2023 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report042024","944238","0","NONE","5/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report042025","835767","0","NONE","5/1/2025 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report052022","847239","0","NONE","6/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report052023","969226","0","NONE","6/1/2023 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report052024","1000193","0","NONE","6/1/2024 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report052025","871403","0","NONE","6/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report062022","848779","0","NONE","7/1/2022 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report062023","937532","0","NONE","7/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report062024","960306","0","NONE","7/1/2024 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report062025","873833","0","NONE","7/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report072022","930779","0","NONE","8/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report072023","997043","0","NONE","8/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report072024","961788","0","NONE","8/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report072025","922192","0","NONE","8/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report082022","959857","0","NONE","9/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report082023","1026459","0","NONE","9/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report082024","968432","0","NONE","9/1/2024 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report082025","937729","0","NONE","9/1/2025 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report092022","944699","0","NONE","10/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report092023","994610","0","NONE","10/1/2023 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report092024","877623","0","NONE","10/1/2024 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report092025","924630","0","NONE","10/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report102022","1015508","0","NONE","11/1/2022 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report102023","1043805","0","NONE","11/1/2023 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report102024","938992","0","NONE","11/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report102025","952514","0","NONE","11/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report112021","819203","0","NONE","12/1/2021 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report112022","968176","0","NONE","12/1/2022 5:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report112023","1003632","0","NONE","12/1/2023 5:00:02 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report112024","873309","0","NONE","12/1/2024 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report112025","962426","0","NONE","12/1/2025 5:00:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MonthlySelling_Report122024","886925","0","NONE","1/13/2025 2:21:13 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSdynamicsnapshotjobs","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSdynamicsnapshotjobs","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSdynamicsnapshotjobs","0","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSdynamicsnapshotviews","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_agent_parameters","0","0","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_altsyncpartners","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_articlehistory","5","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_articlehistory","5","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_CTNhanQuaTT","0","0","NONE","1/28/2019 10:16:38 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_CTNhanQuaTT","0","2","NONE","1/28/2019 10:16:38 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_CTPhieuQT","0","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_CTPhieuQT","0","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_LichSuCapTheTT","0","0","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_LichSuCapTheTT","0","2","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","0","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","0","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_Attachment","0","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_Attachment","0","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","0","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","0","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","0","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","0","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_Feedback","0","0","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflict_FrontEndDB109_SGC_Feedback","0","2","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflicts_info","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_conflicts_info","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_contents","9580","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_contents","9580","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_contents","9580","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_contents","9580","4","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_current_partition_mappings","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_current_partition_mappings","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_dynamic_snapshots","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_errorlineage","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_generation_partition_mappings","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_generation_partition_mappings","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_genhistory","1245","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_genhistory","1245","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_genhistory","1245","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_genhistory","1245","4","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_history","70","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_history","70","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_history","70","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
