"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"MonthlySelling_Report092025","","0","0","2","HEAP","0","False","","",""
"TichLuy102023","","0","0","0","HEAP","0","False","","7/15/2025 3:49:36 PM",""
"TichLuy052025","","0","0","0","HEAP","0","False","","7/15/2025 5:26:50 PM",""
"MonthlySelling_Report062025","","0","0","1","HEAP","0","False","","7/16/2025 9:30:33 AM",""
"Monthly_Promotion062025","","0","0","0","HEAP","0","False","","7/15/2025 11:16:31 AM",""
"TichLuy062025","","0","0","0","HEAP","0","False","","7/15/2025 11:16:22 AM",""
"MonthlySelling_Report072025","","0","0","4","HEAP","0","False","","",""
"MonthlySelling_Report052025","","0","0","1","HEAP","0","False","","7/15/2025 2:21:18 PM",""
"Monthly_Promotion052025","","0","0","0","HEAP","0","False","","7/15/2025 5:17:47 PM",""
"MonthlySelling_Report042025","","0","0","5","HEAP","0","False","","7/15/2025 2:26:06 PM",""
"Monthly_Promotion042025","","0","0","0","HEAP","0","False","","7/15/2025 2:22:02 PM",""
"TichLuy042025","","0","0","0","HEAP","0","False","","7/15/2025 2:21:53 PM",""
"TichLuy092023","","0","0","0","HEAP","0","False","","7/15/2025 3:55:44 PM",""
"MonthlySelling_Report092023","","0","0","0","HEAP","0","False","","7/15/2025 4:00:57 PM",""
"Monthly_Promotion092023","","0","0","0","HEAP","0","False","","7/15/2025 3:55:53 PM",""
"SGC_DocumentIssue","","0","0","564","HEAP","0","False","","",""
"Monthly_Promotion022025","","0","0","0","HEAP","0","False","","7/15/2025 2:31:46 PM",""
"Monthly_Promotion072023","","0","0","0","HEAP","0","False","","7/15/2025 4:07:22 PM",""
"TichLuy022025","","0","0","0","HEAP","0","False","","7/15/2025 2:31:37 PM",""
"TichLuy072023","","0","0","0","HEAP","0","False","","7/15/2025 4:07:16 PM",""
"MonthlySelling_Report032025","","0","0","4","HEAP","0","False","","7/15/2025 2:31:07 PM",""
"MonthlySelling_Report082023","","0","0","0","HEAP","0","False","","7/15/2025 4:06:43 PM",""
"Monthly_Promotion032025","","0","0","0","HEAP","0","False","","7/15/2025 2:26:40 PM",""
"Monthly_Promotion082023","","0","0","0","HEAP","0","False","","7/15/2025 4:06:55 PM",""
"TichLuy032025","","0","0","0","HEAP","0","False","","7/15/2025 2:26:34 PM",""
"TichLuy082023","","0","0","0","HEAP","0","False","","7/15/2025 4:01:29 PM",""
"Monthly_Promotion062023","","0","0","0","HEAP","0","False","","7/15/2025 4:12:53 PM",""
"Monthly_Promotion012025","","0","0","0","HEAP","0","False","","7/15/2025 2:35:53 PM",""
"TichLuy012025","","0","0","0","HEAP","0","False","","7/15/2025 2:35:38 PM",""
"TichLuy062023","","0","0","0","HEAP","0","False","","7/15/2025 4:12:52 PM",""
"MonthlySelling_Report022025","","0","0","0","HEAP","0","False","","7/15/2025 2:35:02 PM",""
"MonthlySelling_Report072023","","0","0","0","HEAP","0","False","","7/15/2025 4:12:35 PM",""
"MonthlySelling_Report122024","","0","0","0","HEAP","0","False","","7/15/2025 2:44:24 PM",""
"Monthly_Promotion052023","","0","0","0","HEAP","0","False","","7/15/2025 4:18:01 PM",""
"Monthly_Promotion122024","","0","0","0","HEAP","0","False","","7/15/2025 2:40:31 PM",""
"TichLuy122024","","0","0","0","HEAP","0","False","","7/15/2025 2:40:21 PM",""
"TichLuy052023","","0","0","0","HEAP","0","False","","7/15/2025 4:17:59 PM",""
"MonthlySelling_Report052023","","0","0","0","HEAP","0","False","","7/15/2025 4:23:08 PM",""
"SGC_ApplicationItem","","0","0","108","HEAP","0","False","","",""
"MonthlySelling_Report062023","","0","0","0","HEAP","0","False","","7/15/2025 4:17:46 PM",""
"MonthlySelling_Report012025","","0","0","2","HEAP","0","False","","7/15/2025 2:39:38 PM",""
"MonthlySelling_Report032022","","0","0","0","HEAP","0","False","","7/15/2025 5:22:34 PM",""
"Monthly_Promotion032022","","0","0","0","HEAP","0","False","","7/15/2025 5:18:04 PM",""
"MonthlySelling_Report042022","","0","0","0","HEAP","0","False","","7/15/2025 5:17:18 PM",""
"dot1_12","","0","0","3","HEAP","0","False","","",""
"Monthly_Promotion042022","","0","0","0","HEAP","0","False","","7/15/2025 5:13:18 PM",""
"TichLuy032022","","0","0","0","HEAP","0","False","","7/15/2025 5:17:37 PM",""
"sysmergeschemachange","schemachangeversion","1","0","14","CLUSTERED","0","False","","",""
"TichLuy022022","","0","0","0","HEAP","0","False","","7/15/2025 5:22:52 PM",""
"TichLuy012022","","0","0","0","HEAP","0","False","","7/15/2025 5:26:47 PM",""
"MonthlySelling_Report022022","","0","0","0","HEAP","0","False","","7/15/2025 5:26:32 PM",""
"sysmergearticles","nc3sysmergearticles","4","0","128","NONCLUSTERED","0","False","","",""
"Monthly_Promotion022022","","0","0","0","HEAP","0","False","","7/15/2025 5:23:32 PM",""
"TichLuy052024","","0","0","0","HEAP","0","False","","7/15/2025 3:17:11 PM",""
"MonthlySelling_Report012022","","0","0","0","HEAP","0","False","","7/15/2025 5:30:50 PM",""
"HDD","","0","0","3","HEAP","0","False","","",""
"Monthly_Promotion012022","","0","0","0","HEAP","0","False","","7/15/2025 5:26:57 PM",""
"sysmergepublications","","0","0","61833","HEAP","0","False","","",""
"sysmergepublications","nc1sysmergepublications","2","0","8521","NONCLUSTERED","0","False","","",""
"MonthlySelling_Report112023","","0","0","0","HEAP","0","False","","7/15/2025 3:49:08 PM",""
"Monthly_Promotion112023","","0","0","0","HEAP","0","False","","7/15/2025 3:43:54 PM",""
"TichLuy112023","","0","0","0","HEAP","0","False","","7/15/2025 3:43:49 PM",""
"MonthlySelling_Report012024","","0","0","0","HEAP","0","False","","7/15/2025 3:43:18 PM",""
"Monthly_Promotion012024","","0","0","0","HEAP","0","False","","7/15/2025 3:38:14 PM",""
"MonthlySelling_Report102023","","0","0","0","HEAP","0","False","","7/15/2025 3:55:13 PM",""
"MonthlySelling_Report102025","","0","0","1","HEAP","0","False","","",""
"MonthlySelling_Report112025","","0","0","1","HEAP","0","False","","",""
"TichLuy012024","","0","0","0","HEAP","0","False","","7/15/2025 3:38:13 PM",""
"MonthlySelling_Report022024","","0","0","0","HEAP","0","False","","7/15/2025 3:43:23 PM",""
"Monthly_Promotion022024","","0","0","0","HEAP","0","False","","7/15/2025 3:33:59 PM",""
"TichLuy022024","","0","0","0","HEAP","0","False","","7/15/2025 3:33:56 PM",""
"MonthlySelling_Report032024","","0","0","0","HEAP","0","False","","7/15/2025 3:33:19 PM",""
"Monthly_Promotion032024","","0","0","0","HEAP","0","False","","7/15/2025 3:28:32 PM",""
"TichLuy032024","","0","0","0","HEAP","0","False","","7/15/2025 3:28:29 PM",""
"MonthlySelling_Report042024","","0","0","0","HEAP","0","False","","7/15/2025 3:27:59 PM",""
"Monthly_Promotion042024","","0","0","0","HEAP","0","False","","7/15/2025 3:23:11 PM",""
"ctphieuqt_bk","","0","0","3","HEAP","0","False","","",""
"TichLuy042024","","0","0","0","HEAP","0","False","","7/15/2025 3:23:00 PM",""
